"","X","full_name","rating","jersey","team","position","b_day","metros","kilos","salary","country","draft_year","draft_round","draft_peak","college"
"335",335,"Raul Neto",72,19,"Philadelphia 76ers","G",1992-05-19,1.85,77.1,1737145,"Brazil",2013,2,47,"Studied Abroad"
"336",336,"Georges Niang",72,31,"Utah Jazz","F",1993-06-17,2.01,104.3,1645357,"USA",2016,2,50,"Iowa State"
"337",337,"Cameron Payne",72,0,"Phoenix Suns","G",1994-08-08,1.88,81.6,346288,"USA",2015,1,14,"Murray State"
"338",338,"Anfernee Simons",72,1,"Portland Trail Blazers","G",1999-06-08,1.91,82.1,2149560,"USA",2018,1,24,"High School"
"339",339,"Zhaire Smith",72,8,"Philadelphia 76ers","G-F",1999-06-04,1.91,93,3058800,"USA",2018,1,16,"Texas Tech"
"340",340,"Anthony Tolliver",72,0,"Memphis Grizzlies","F",1985-06-01,2.03,108.9,2854556,"USA",2007,3,0,"Creighton"
"341",341,"DJ Wilson",72,5,"Milwaukee Bucks","F",1996-02-19,2.08,106.1,2961120,"USA",2017,1,17,"Michigan"
"342",342,"Alfonzo McKinnie",72,0,"Cleveland Cavaliers","F",1992-09-17,2.03,97.5,2391985,"USA",2015,3,0,"Green Bay"
"343",343,"Romeo Langford",72,45,"Boston Celtics","G",1999-10-25,1.93,98,3458400,"USA",2019,1,14,"Indiana"
"344",344,"Grant Williams",72,12,"Boston Celtics","F",1998-11-30,1.98,107,2379840,"USA",2019,1,22,"Tennessee"
"345",345,"Nicolas Claxton",72,0,"Brooklyn Nets","C",1990-04-17,2.11,97.5,898310,"USA",2019,2,31,"Georgia"
"346",346,"PJ Washington",72,25,"Charlotte Hornets","F",1998-08-23,2.01,102.1,3831840,"USA",2019,1,12,"Kentucky"
"347",347,"Ryan Arcidiacono",72,51,"Chicago Bulls","G",1994-03-26,1.91,88.5,3e+06,"Italy",2016,3,0,"Villanova"
"348",348,"Kevin Porter",72,4,"Cleveland Cavaliers","G-F",2000-05-04,1.93,98.9,1290960,"USA",2019,1,30,"USC"
"349",349,"Ryan Broekhoff",72,0,"Philadelphia 76ers","F",1990-08-23,1.98,97.5,2833704,"Australia",2013,3,0,"Valparaiso"
"350",350,"Goga Bitadze",72,88,"Indiana Pacers","C",1999-07-20,2.11,113.4,2816760,"Georgia",2019,1,18,"Studied Abroad"
"351",351,"De'Anthony Melton",72,0,"Memphis Grizzlies","G",1998-05-28,1.88,86.2,1416852,"USA",2018,2,46,"USC"
"352",352,"Kenrich Williams",72,34,"New Orleans Pelicans","G-F",1994-12-02,1.98,95.3,1416852,"USA",2018,3,0,"TCU"
"353",353,"Nickeil Alexander-Walker",72,0,"New Orleans Pelicans","G",1998-09-02,1.96,93,2964840,"Canada",2019,1,17,"Virginia Tech"
"354",354,"Chuma Okeke",72,3,"No_Team","F-C",1998-08-18,2.03,104,2773550,"USA",2019,1,16,"Auburn"
"355",355,"Matisse Thybulle",72,22,"Philadelphia 76ers","G-F",1997-03-04,1.96,91.2,2582160,"USA",2019,1,20,"Washington"
"356",356,"Cameron Johnson",72,23,"Phoenix Suns","F",1996-03-03,2.03,95.3,4033440,"USA",2019,1,11,"North Carolina"
"357",357,"Ty Jerome",72,10,"Phoenix Suns","G",1997-07-08,1.96,88.5,2193480,"USA",2019,1,24,"Virginia"
